storm_id,storm_name,timestamp,timecode,lat,lon,m1_combined,m1_c13,m2_combined,m2_c13
2021al05,Hurricane Elsa,2021-07-01 06:00:00,2021182060,9.81,-47.33,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/06/OR_ABI-L2-MCMIPM1-M6_G16_s2021182060,s3://noaa-goes16/ABI-L1b-RadM/2021/182/06/OR_ABI-L1b-RadM1-M6C13_G16_s2021182060,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/06/OR_ABI-L2-MCMIPM2-M6_G16_s2021182060,s3://noaa-goes16/ABI-L1b-RadM/2021/182/06/OR_ABI-L1b-RadM2-M6C13_G16_s2021182060
2021al05,Hurricane Elsa,2021-07-01 06:30:00,2021182063,9.85,-47.51,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/06/OR_ABI-L2-MCMIPM1-M6_G16_s2021182063,s3://noaa-goes16/ABI-L1b-RadM/2021/182/06/OR_ABI-L1b-RadM1-M6C13_G16_s2021182063,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/06/OR_ABI-L2-MCMIPM2-M6_G16_s2021182063,s3://noaa-goes16/ABI-L1b-RadM/2021/182/06/OR_ABI-L1b-RadM2-M6C13_G16_s2021182063
2021al05,Hurricane Elsa,2021-07-01 07:00:00,2021182070,9.91,-47.69,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/07/OR_ABI-L2-MCMIPM1-M6_G16_s2021182070,s3://noaa-goes16/ABI-L1b-RadM/2021/182/07/OR_ABI-L1b-RadM1-M6C13_G16_s2021182070,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/07/OR_ABI-L2-MCMIPM2-M6_G16_s2021182070,s3://noaa-goes16/ABI-L1b-RadM/2021/182/07/OR_ABI-L1b-RadM2-M6C13_G16_s2021182070
2021al05,Hurricane Elsa,2021-07-01 07:30:00,2021182073,9.43,-48.14,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/07/OR_ABI-L2-MCMIPM1-M6_G16_s2021182073,s3://noaa-goes16/ABI-L1b-RadM/2021/182/07/OR_ABI-L1b-RadM1-M6C13_G16_s2021182073,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/07/OR_ABI-L2-MCMIPM2-M6_G16_s2021182073,s3://noaa-goes16/ABI-L1b-RadM/2021/182/07/OR_ABI-L1b-RadM2-M6C13_G16_s2021182073
2021al05,Hurricane Elsa,2021-07-01 08:00:00,2021182080,9.35,-48.44,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/08/OR_ABI-L2-MCMIPM1-M6_G16_s2021182080,s3://noaa-goes16/ABI-L1b-RadM/2021/182/08/OR_ABI-L1b-RadM1-M6C13_G16_s2021182080,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/08/OR_ABI-L2-MCMIPM2-M6_G16_s2021182080,s3://noaa-goes16/ABI-L1b-RadM/2021/182/08/OR_ABI-L1b-RadM2-M6C13_G16_s2021182080
2021al05,Hurricane Elsa,2021-07-01 08:30:00,2021182083,9.37,-48.62,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/08/OR_ABI-L2-MCMIPM1-M6_G16_s2021182083,s3://noaa-goes16/ABI-L1b-RadM/2021/182/08/OR_ABI-L1b-RadM1-M6C13_G16_s2021182083,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/08/OR_ABI-L2-MCMIPM2-M6_G16_s2021182083,s3://noaa-goes16/ABI-L1b-RadM/2021/182/08/OR_ABI-L1b-RadM2-M6C13_G16_s2021182083
2021al05,Hurricane Elsa,2021-07-01 09:00:00,2021182090,9.40,-48.80,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/09/OR_ABI-L2-MCMIPM1-M6_G16_s2021182090,s3://noaa-goes16/ABI-L1b-RadM/2021/182/09/OR_ABI-L1b-RadM1-M6C13_G16_s2021182090,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/09/OR_ABI-L2-MCMIPM2-M6_G16_s2021182090,s3://noaa-goes16/ABI-L1b-RadM/2021/182/09/OR_ABI-L1b-RadM2-M6C13_G16_s2021182090
2021al05,Hurricane Elsa,2021-07-01 09:30:00,2021182093,9.43,-48.98,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/09/OR_ABI-L2-MCMIPM1-M6_G16_s2021182093,s3://noaa-goes16/ABI-L1b-RadM/2021/182/09/OR_ABI-L1b-RadM1-M6C13_G16_s2021182093,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/09/OR_ABI-L2-MCMIPM2-M6_G16_s2021182093,s3://noaa-goes16/ABI-L1b-RadM/2021/182/09/OR_ABI-L1b-RadM2-M6C13_G16_s2021182093
2021al05,Hurricane Elsa,2021-07-01 10:00:00,2021182100,9.47,-49.16,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/10/OR_ABI-L2-MCMIPM1-M6_G16_s2021182100,s3://noaa-goes16/ABI-L1b-RadM/2021/182/10/OR_ABI-L1b-RadM1-M6C13_G16_s2021182100,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/10/OR_ABI-L2-MCMIPM2-M6_G16_s2021182100,s3://noaa-goes16/ABI-L1b-RadM/2021/182/10/OR_ABI-L1b-RadM2-M6C13_G16_s2021182100
2021al05,Hurricane Elsa,2021-07-01 10:30:00,2021182103,9.50,-49.33,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/10/OR_ABI-L2-MCMIPM1-M6_G16_s2021182103,s3://noaa-goes16/ABI-L1b-RadM/2021/182/10/OR_ABI-L1b-RadM1-M6C13_G16_s2021182103,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/10/OR_ABI-L2-MCMIPM2-M6_G16_s2021182103,s3://noaa-goes16/ABI-L1b-RadM/2021/182/10/OR_ABI-L1b-RadM2-M6C13_G16_s2021182103
2021al05,Hurricane Elsa,2021-07-01 11:00:00,2021182110,9.54,-49.51,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/11/OR_ABI-L2-MCMIPM1-M6_G16_s2021182110,s3://noaa-goes16/ABI-L1b-RadM/2021/182/11/OR_ABI-L1b-RadM1-M6C13_G16_s2021182110,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/11/OR_ABI-L2-MCMIPM2-M6_G16_s2021182110,s3://noaa-goes16/ABI-L1b-RadM/2021/182/11/OR_ABI-L1b-RadM2-M6C13_G16_s2021182110
2021al05,Hurricane Elsa,2021-07-01 11:30:00,2021182113,9.59,-49.69,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/11/OR_ABI-L2-MCMIPM1-M6_G16_s2021182113,s3://noaa-goes16/ABI-L1b-RadM/2021/182/11/OR_ABI-L1b-RadM1-M6C13_G16_s2021182113,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/11/OR_ABI-L2-MCMIPM2-M6_G16_s2021182113,s3://noaa-goes16/ABI-L1b-RadM/2021/182/11/OR_ABI-L1b-RadM2-M6C13_G16_s2021182113
2021al05,Hurricane Elsa,2021-07-01 12:00:00,2021182120,9.63,-49.86,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/12/OR_ABI-L2-MCMIPM1-M6_G16_s2021182120,s3://noaa-goes16/ABI-L1b-RadM/2021/182/12/OR_ABI-L1b-RadM1-M6C13_G16_s2021182120,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/12/OR_ABI-L2-MCMIPM2-M6_G16_s2021182120,s3://noaa-goes16/ABI-L1b-RadM/2021/182/12/OR_ABI-L1b-RadM2-M6C13_G16_s2021182120
2021al05,Hurricane Elsa,2021-07-01 12:30:00,2021182123,9.68,-50.04,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/12/OR_ABI-L2-MCMIPM1-M6_G16_s2021182123,s3://noaa-goes16/ABI-L1b-RadM/2021/182/12/OR_ABI-L1b-RadM1-M6C13_G16_s2021182123,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/12/OR_ABI-L2-MCMIPM2-M6_G16_s2021182123,s3://noaa-goes16/ABI-L1b-RadM/2021/182/12/OR_ABI-L1b-RadM2-M6C13_G16_s2021182123
2021al05,Hurricane Elsa,2021-07-01 13:00:00,2021182130,10.00,-50.58,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/13/OR_ABI-L2-MCMIPM1-M6_G16_s2021182130,s3://noaa-goes16/ABI-L1b-RadM/2021/182/13/OR_ABI-L1b-RadM1-M6C13_G16_s2021182130,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/13/OR_ABI-L2-MCMIPM2-M6_G16_s2021182130,s3://noaa-goes16/ABI-L1b-RadM/2021/182/13/OR_ABI-L1b-RadM2-M6C13_G16_s2021182130
2021al05,Hurricane Elsa,2021-07-01 13:30:00,2021182133,10.05,-50.77,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/13/OR_ABI-L2-MCMIPM1-M6_G16_s2021182133,s3://noaa-goes16/ABI-L1b-RadM/2021/182/13/OR_ABI-L1b-RadM1-M6C13_G16_s2021182133,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/13/OR_ABI-L2-MCMIPM2-M6_G16_s2021182133,s3://noaa-goes16/ABI-L1b-RadM/2021/182/13/OR_ABI-L1b-RadM2-M6C13_G16_s2021182133
2021al05,Hurricane Elsa,2021-07-01 14:00:00,2021182140,10.02,-51.01,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/14/OR_ABI-L2-MCMIPM1-M6_G16_s2021182140,s3://noaa-goes16/ABI-L1b-RadM/2021/182/14/OR_ABI-L1b-RadM1-M6C13_G16_s2021182140,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/14/OR_ABI-L2-MCMIPM2-M6_G16_s2021182140,s3://noaa-goes16/ABI-L1b-RadM/2021/182/14/OR_ABI-L1b-RadM2-M6C13_G16_s2021182140
2021al05,Hurricane Elsa,2021-07-01 14:30:00,2021182143,10.06,-51.20,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/14/OR_ABI-L2-MCMIPM1-M6_G16_s2021182143,s3://noaa-goes16/ABI-L1b-RadM/2021/182/14/OR_ABI-L1b-RadM1-M6C13_G16_s2021182143,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/14/OR_ABI-L2-MCMIPM2-M6_G16_s2021182143,s3://noaa-goes16/ABI-L1b-RadM/2021/182/14/OR_ABI-L1b-RadM2-M6C13_G16_s2021182143
2021al05,Hurricane Elsa,2021-07-01 15:00:00,2021182150,10.10,-51.40,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/15/OR_ABI-L2-MCMIPM1-M6_G16_s2021182150,s3://noaa-goes16/ABI-L1b-RadM/2021/182/15/OR_ABI-L1b-RadM1-M6C13_G16_s2021182150,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/15/OR_ABI-L2-MCMIPM2-M6_G16_s2021182150,s3://noaa-goes16/ABI-L1b-RadM/2021/182/15/OR_ABI-L1b-RadM2-M6C13_G16_s2021182150
2021al05,Hurricane Elsa,2021-07-01 15:30:00,2021182153,10.15,-51.60,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/15/OR_ABI-L2-MCMIPM1-M6_G16_s2021182153,s3://noaa-goes16/ABI-L1b-RadM/2021/182/15/OR_ABI-L1b-RadM1-M6C13_G16_s2021182153,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/15/OR_ABI-L2-MCMIPM2-M6_G16_s2021182153,s3://noaa-goes16/ABI-L1b-RadM/2021/182/15/OR_ABI-L1b-RadM2-M6C13_G16_s2021182153
